id,name,neighborhood,cuisine,price_level,rating,review_count,is_open,hours,tags,description,menu_summary,top_reviews,vibe
woXlprCuowrLJswWere3TQ,täkō,Unknown,"New American, Mexican",2.0,4.3,2074,True,"[{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 6}]","New American, Mexican",,,,
4_mmJV3e6yPPm2NdEpxaNg,Novo Asian Food Hall,Unknown,"Japanese, Korean, Pan Asian",2.0,4.1,139,True,"[{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 6}]","Japanese, Korean, Pan Asian","Novo Asian Food Hall is a trendy spot offering a variety of Japanese, Korean, and Pan Asian cuisines under one roof.","The food hall serves a diverse selection of dishes from Japan, Korea, and across Asia, likely including sushi, ramen, bibimbap, dumplings, stir-fries and more.",No Yelp reviews could be found for this restaurant.,Lively
BcLFIr4wtd3GQ3fnz15yDQ,DiAnoia's Eatery,Unknown,"Delis, Italian, Breakfast & Brunch",2.0,4.4,1168,True,"[{'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 6}]","Delis, Italian, Breakfast & Brunch",,,,
BskUTTscZ1XGa9ev7TlfeQ,The Commoner,Unknown,"New American, Cocktail Bars, Breakfast & Brunch",2.0,3.9,950,True,"[{'is_overnight': False, 'start': '0700', 'end': '1030', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1030', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1030', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1030', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1030', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0830', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0830', 'end': '2100', 'day': 6}]","New American, Cocktail Bars, Breakfast & Brunch",The Commoner is a New American restaurant and cocktail bar that also serves breakfast and brunch.,"The menu likely features contemporary American dishes with creative twists, as well as craft cocktails. Brunch options are available.",No Yelp reviews were found to summarize what diners liked or disliked about their experience.,Insufficient information to determine vibe.
TZpTyyGvQkKPnt59PVUGhg,Butterjoint,Unknown,"Bars, American",2.0,4.1,370,True,"[{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 6}]","Bars, American",,,,
aVvCWP4cLu5OVpJqlMDgKQ,Barcelona Wine Bar,Unknown,"Wine Bars, Tapas/Small Plates",3.0,4.5,155,True,"[{'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}]","Wine Bars, Tapas/Small Plates",Barcelona Wine Bar is a tapas restaurant and wine bar.,"The menu features tapas and small plates, along with an extensive wine selection.",No Yelp reviews were found for this restaurant.,Unknown
jw5ljW5KrP95Ut59BAzsmw,Buenatarde,Unknown,"Latin American, Mexican, Cocktail Bars",,4.4,62,True,"[{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}]","Latin American, Mexican, Cocktail Bars",Buenatarde is a Latin American and Mexican restaurant that also serves as a cocktail bar.,The menu likely features traditional Latin American and Mexican dishes. Cocktails are also a focus.,No Yelp reviews could be found for this restaurant to summarize what customers liked or disliked.,Insufficient information to determine vibe.
gQG963y8PxGfwv0fUpDSbA,Ritual House,Unknown,"Breakfast & Brunch, Wine Bars, Cocktail Bars",,4.3,344,True,"[{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0930', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0930', 'end': '2000', 'day': 6}]","Breakfast & Brunch, Wine Bars, Cocktail Bars","Ritual House is a trendy spot serving breakfast, brunch, wine and cocktails. No Yelp reviews are available yet for this establishment.","The menu focuses on breakfast and brunch fare, along with a selection of wines and cocktails.",No Yelp reviews are currently available to summarize what patrons liked or disliked about Ritual House.,Trendy
Egwnk84ioGxzx6BsJmWkrw,Garbarinos,Unknown,Italian,2.0,4.5,164,True,"[{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 5}]",Italian,,,,
uO_OX2DXmzo2c72YpbXe1A,Pusadee's Garden,Unknown,"Thai, Soup, Asian Fusion",2.0,4.5,854,True,"[{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 5}]","Thai, Soup, Asian Fusion",,,,
vNQkym5qZ-E-4AJ4IQ5JEg,Alla Famiglia,Unknown,Italian,4.0,4.3,486,True,"[{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 5}]",Italian,,,,
dLc1d1zwd1Teu2QED5TmlA,Noodlehead,Unknown,"Thai, Noodles",2.0,4.4,2032,True,"[{'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}]","Thai, Noodles",Noodlehead is a Thai restaurant specializing in noodle dishes.,The menu focuses on various Thai-style noodle dishes and soups.,No Yelp reviews could be found for this restaurant to summarize what diners liked or disliked.,Unknown
S8urdN6ACnRQUm-7o9An8w,Altius,Unknown,"New American, Venues & Event Spaces, Bars",4.0,4.4,906,True,"[{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 5}]","New American, Venues & Event Spaces, Bars",Altius is a New American restaurant that also offers event spaces and a bar.,The menu likely features creative American cuisine with modern twists.,No Yelp reviews were found for this restaurant.,Upscale
jNtQkcsqeNsJAi_hIiIKLQ,Lawrence Hall,Unknown,"Food Court, Cocktail Bars, Venues & Event Spaces",,4.2,72,True,"[{'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}]","Food Court, Cocktail Bars, Venues & Event Spaces","Lawrence Hall is a multi-purpose venue featuring a food court, cocktail bars, and event spaces. No Yelp reviews were found for this establishment.","The food court likely offers a variety of quick-service dining options, while the cocktail bars serve a selection of drinks. Specific menu details are not available.",No reviews are available to summarize what patrons liked or disliked about Lawrence Hall.,Versatile
17DImn_vPnuwU9hhRFXlUA,Umami,Unknown,"Sushi Bars, Japanese, Bars",2.0,4.3,489,True,"[{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 5}]","Sushi Bars, Japanese, Bars",Umami is a Japanese restaurant and bar specializing in sushi.,"Sushi and other Japanese dishes, along with a bar menu.",No reviews found.,Unknown
e9KXojla4OuVP7qcC5LNsg,Union Grill,Unknown,American,2.0,4.0,626,True,"[{'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}]",American,,,,
yXBNdR_laBR9Us1Hp0WlCA,North Shore Tavern,Unknown,"Sports Bars, American",2.0,4.1,160,True,"[{'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}]","Sports Bars, American",North Shore Tavern is a sports bar serving American pub fare. No Yelp reviews are available to provide further details about this establishment.,"The menu likely features typical American bar food and pub grub, such as burgers, wings, fries, and sandwiches, along with a selection of beers on tap.","No Yelp reviews were found for North Shore Tavern, so unable to summarize what patrons liked or disliked about their experiences.",Sports bar
RXUw0HHvQIxsbbPRK6QZ9w,Yoshino,Unknown,"Japanese, Sushi Bars",,4.4,193,True,"[{'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}]","Japanese, Sushi Bars",,,,
d2ZQRjuizstCTnicysmpMQ,Eleven,Unknown,New American,3.0,4.3,963,True,"[{'is_overnight': False, 'start': '1630', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1630', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1630', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1630', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1430', 'day': 6}, {'is_overnight': False, 'start': '1630', 'end': '2100', 'day': 6}]",New American,,,,
7MQ6lp4cnTqBIDabtTa5kw,Albero Verde,Unknown,"Italian, Food Delivery Services, Venues & Event Spaces",,4.7,29,True,"[{'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 5}]","Italian, Food Delivery Services, Venues & Event Spaces",Albero Verde is an Italian restaurant that offers food delivery and event space rentals.,Italian cuisine,No Yelp reviews found.,Uncertain due to lack of reviews
usFNFsaaHFxEbnBO4FaFHA,Piccolo Forno,Unknown,"Italian, Pizza",2.0,4.1,644,True,"[{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}]","Italian, Pizza",,,,
9xjAQ9VlK6e46xy_iLzXqg,Kavsar,Unknown,"Halal, Uzbek, Comfort Food",2.0,4.3,205,True,"[{'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}]","Halal, Uzbek, Comfort Food",Kavsar is an Uzbek restaurant serving halal comfort food.,"Uzbek cuisine, likely featuring dishes like plov, samsa, lagman noodles, and kebabs.",No Yelp reviews were found for this restaurant.,"Uncertain due to lack of reviews, but likely a casual, homestyle vibe typical of a comfort food spot."
HGtJeZ5ifqRwknvsBlB8fQ,Tocayo Taqueria & Tequila,Unknown,Tacos,2.0,4.5,446,True,"[{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}]",Tacos,Tocayo Taqueria & Tequila is a taqueria serving tacos and other Mexican fare. The restaurant also features tequila drinks.,The menu focuses on tacos and likely other Mexican dishes. Tequila and cocktails made with tequila are served.,No Yelp reviews were found for this restaurant.,Unclear
4QczkUW85XLOGDu4NRZl9w,Reva Modern Indian Cuisine,Unknown,"Indian, Diners, Kebab",,4.6,38,True,"[{'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 6}]","Indian, Diners, Kebab",Reva Modern Indian Cuisine offers contemporary Indian dishes in a casual dining setting. The restaurant specializes in kebabs and diner-style Indian fare.,"The menu features modern interpretations of classic Indian cuisine, with a focus on kebabs and other grilled dishes. Expect a range of traditional Indian flavors presented in an accessible diner-style format.",No Yelp reviews were found for this restaurant.,Casual
j3YEV0H16fRaSiKh-ne00g,Kiin Lao & Thai Eatery,Unknown,"Laotian, Thai",2.0,4.3,253,True,"[{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}]","Laotian, Thai",Kiin Lao & Thai Eatery serves up authentic Laotian and Thai cuisine.,"The menu likely features a variety of traditional Laotian and Thai dishes such as noodles, curries, stir-fries, soups, and salads.",No Yelp reviews were found for this restaurant.,Unknown
7PRse3yCQbEprAj1DWrEQQ,Dish Osteria and Bar,Unknown,Italian,3.0,4.5,359,True,"[{'is_overnight': False, 'start': '1700', 'end': '2330', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2330', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2330', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2330', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2330', 'day': 5}]",Italian,,,,
Ul6JwluSTm12PVDIqnNaTg,Kaya,Unknown,"Caribbean, Bars",2.0,4.1,1033,True,"[{'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}]","Caribbean, Bars",Kaya is a Caribbean restaurant and bar. No further details are available due to a lack of reviews.,"Caribbean cuisine is likely served, but the exact menu offerings are unknown.","No reviews were found for this restaurant, so it's not possible to summarize what patrons liked or disliked about their experience.",Insufficient information to determine the restaurant's vibe or atmosphere.
